season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
2026,NBA,Eastern Conf First Round,Detroit Pistons (1),4,Orlando Magic (8),3,DET (-600),ORL (+450)
2026,NBA,Eastern Conf First Round,Cleveland Cavaliers (4),4,Toronto Raptors (5),3,CLE (-550),TOR (+425)
2026,NBA,Eastern Conf First Round,New York Knicks (3),4,Atlanta Hawks (6),2,NYK (-300),ATL (+250)
2026,NBA,Eastern Conf First Round,Philadelphia 76ers (7),4,Boston Celtics (2),3,BOS (-1300),PHI (+800)
2026,NBA,Western Conf First Round,Oklahoma City Thunder (1),4,Phoenix Suns (8),0,OKC (-6000),PHO (+2200)
2026,NBA,Western Conf First Round,Los Angeles Lakers (4),4,Houston Rockets (5),2,HOU (-550),LAL (+425)
2026,NBA,Western Conf First Round,Minnesota Timberwolves (6),4,Denver Nuggets (3),2,DEN (-350),MIN (+290)
2026,NBA,Western Conf First Round,San Antonio Spurs (2),4,Portland Trail Blazers (7),1,SAS (-1800),POR (+1100)
2026,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Minnesota Timberwolves (6),2,SAS (-400),MIN (+310)
2026,NBA,Western Conf Semifinals,Oklahoma City Thunder (1),4,Los Angeles Lakers (4),0,OKC (-1600),LAL (+1000)
2026,NBA,Eastern Conf Semifinals,New York Knicks (3),4,Philadelphia 76ers (7),0,NYK (-250),PHI (+210)
2026,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (4),4,Detroit Pistons (1),3,DET (-120),CLE (+100)
2026,NBA,Western Conf Finals,Oklahoma City Thunder lead the San Antonio Spurs (3-2),Oklahoma City Thunder lead the San Antonio Spurs (3-2),Oklahoma City Thunder lead the San Antonio Spurs (3-2),Oklahoma City Thunder lead the San Antonio Spurs (3-2),OKC (-260),SAS (+220)
2026,NBA,Eastern Conf Finals,New York Knicks (3),4,Cleveland Cavaliers (4),0,NYK (-260),CLE (+220)
2025,NBA,Eastern Conf First Round,Cleveland Cavaliers (1),4,Miami Heat (8),0,CLE (-4000),MIA (+1800)
2025,NBA,Eastern Conf First Round,Indiana Pacers (4),4,Milwaukee Bucks (5),1,IND (-190),MIL (+170)
2025,NBA,Eastern Conf First Round,New York Knicks (3),4,Detroit Pistons (6),2,NYK (-400),DET (+330)
2025,NBA,Eastern Conf First Round,Boston Celtics (2),4,Orlando Magic (7),1,BOS (-5000),ORL (+2000)
2025,NBA,Western Conf First Round,Oklahoma City Thunder (1),4,Memphis Grizzlies (8),0,OKC (-3000),MEM (+1500)
2025,NBA,Western Conf First Round,Denver Nuggets (4),4,Los Angeles Clippers (5),3,LAC (-115),DEN (-105)
2025,NBA,Western Conf First Round,Minnesota Timberwolves (6),4,Los Angeles Lakers (3),1,LAL (-200),MIN (+175)
2025,NBA,Western Conf First Round,Golden State Warriors (7),4,Houston Rockets (2),3,GSW (-175),HOU (+155)
2025,NBA,Eastern Conf Semifinals,Indiana Pacers (4),4,Cleveland Cavaliers (1),1,CLE (-550),IND (+425)
2025,NBA,Eastern Conf Semifinals,New York Knicks (3),4,Boston Celtics (2),2,BOS (-800),NYK (+550)
2025,NBA,Western Conf Semifinals,Oklahoma City Thunder (1),4,Denver Nuggets (4),3,OKC (-750),DEN (+525)
2025,NBA,Western Conf Semifinals,Minnesota Timberwolves (6),4,Golden State Warriors (7),1,MIN (-190),GSW (+170)
2025,NBA,Eastern Conf Finals,Indiana Pacers (4),4,New York Knicks (3),2,NYK (-155),IND (+135)
2025,NBA,Western Conf Finals,Oklahoma City Thunder (1),4,Minnesota Timberwolves (6),1,OKC (-335),MIN (+275)
2025,NBA,Finals,Oklahoma City Thunder (1),4,Indiana Pacers (4),3,OKC (-650),IND (+500)
2024,NBA,Eastern Conf First Round,Boston Celtics (1),4,Miami Heat (8),1,BOS (-10000),MIA (+2000)
2024,NBA,Eastern Conf First Round,Cleveland Cavaliers (4),4,Orlando Magic (5),3,CLE (-210),ORL (+180)
2024,NBA,Eastern Conf First Round,Indiana Pacers (6),4,Milwaukee Bucks (3),2,IND (-125),MIL (+105)
2024,NBA,Eastern Conf First Round,New York Knicks (2),4,Philadelphia 76ers (7),2,NYK (-140),PHI (+120)
2024,NBA,Western Conf First Round,Oklahoma City Thunder (1),4,New Orleans Pelicans (8),0,OKC (-700),NOP (+500)
2024,NBA,Western Conf First Round,Dallas Mavericks (5),4,Los Angeles Clippers (4),2,DAL (-190),LAC (+165)
2024,NBA,Western Conf First Round,Minnesota Timberwolves (3),4,Phoenix Suns (6),0,PHO (-130),MIN (+110)
2024,NBA,Western Conf First Round,Denver Nuggets (2),4,Los Angeles Lakers (7),1,DEN (-340),LAL (+280)
2024,NBA,Eastern Conf Semifinals,Indiana Pacers (6),4,New York Knicks (2),3,NYK (-260),IND (+220)
2024,NBA,Western Conf Semifinals,Dallas Mavericks (5),4,Oklahoma City Thunder (1),2,OKC (-130),DAL (+110)
2024,NBA,Western Conf Semifinals,Minnesota Timberwolves (3),4,Denver Nuggets (2),3,DEN (-200),MIN (+170)
2024,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Cleveland Cavaliers (4),1,BOS (-2500),CLE (+1100)
2024,NBA,Eastern Conf Finals,Boston Celtics (1),4,Indiana Pacers (6),0,BOS (-900),IND (+600)
2024,NBA,Western Conf Finals,Dallas Mavericks (5),4,Minnesota Timberwolves (3),1,MIN (-175),DAL (+155)
2024,NBA,Finals,Boston Celtics (1),4,Dallas Mavericks (5),1,BOS (-225),DAL (+190)
2023,NBA,Eastern Conf First Round,Miami Heat (8),4,Milwaukee Bucks (1),1,MIL (-1200),MIA (+750)
2023,NBA,Eastern Conf First Round,New York Knicks (5),4,Cleveland Cavaliers (4),1,CLE (-190),NYK (+170)
2023,NBA,Eastern Conf First Round,Philadelphia 76ers (3),4,Brooklyn Nets (6),0,PHI (-1100),BRK (+700)
2023,NBA,Eastern Conf First Round,Boston Celtics (2),4,Atlanta Hawks (7),2,BOS (-1600),ATL (+900)
2023,NBA,Western Conf First Round,Denver Nuggets (1),4,Minnesota Timberwolves (8),1,DEN (-550),MIN (+425)
2023,NBA,Western Conf First Round,Phoenix Suns (4),4,Los Angeles Clippers (5),1,PHO (-500),LAC (+400)
2023,NBA,Western Conf First Round,Golden State Warriors (6),4,Sacramento Kings (3),3,GSW (-265),SAC (+225)
2023,NBA,Western Conf First Round,Los Angeles Lakers (7),4,Memphis Grizzlies (2),2,MEM (-140),LAL (+120)
2023,NBA,Eastern Conf Semifinals,Miami Heat (8),4,New York Knicks (5),2,NYK (-160),MIA (+140)
2023,NBA,Eastern Conf Semifinals,Boston Celtics (2),4,Philadelphia 76ers (3),3,BOS (-550),PHI (+425)
