player_id,player,pos,position_group_career,ht_in_in,wt,birth_date,career_start,career_end,hof
biasaha01,Hank Biasatti,G,SG,71.0,175.0,1922-01-14,1947,1947,False
byrneto01,Tommy Byrnes,F-G,UNK,75.0,175.0,1923-02-19,1947,1951,False
fitzgbo01,Bob Fitzgerald,F-C,C,77.0,190.0,1923-03-14,1947,1949,False
fitzgdi01,Dick Fitzgerald,F,SF,74.0,175.0,1920-11-18,1947,1948,False
fucarfr01,Frank Fucarino,F,SF,74.0,175.0,1920-07-24,1947,1947,False
gottlle01,Leo Gottlieb,G,SG,71.0,180.0,1920-11-28,1947,1948,False
hertzso01,Sonny Hertzberg,G,SG,70.0,175.0,1922-07-29,1947,1951,False
hoefech01,Charlie Hoefer,G,SG,69.0,158.0,1921-09-16,1947,1948,False
hurlero01,Roy Hurley,F-G,UNK,74.0,170.0,1922-08-12,1947,1947,False
kaplora01,Ralph Kaplowitz,G-F,UNK,74.0,170.0,1919-05-18,1947,1948,False
mccarmi01,Mike McCarron,G,SG,71.0,180.0,1922-03-02,1947,1950,False
militna01,Nat Militzok,F,SF,75.0,195.0,1923-05-03,1947,1947,False
milleha01,Harry Miller,C-F,C,76.0,230.0,1923-07-28,1947,1947,False
mullebo01,Bob Mullens,G,SG,73.0,175.0,1922-11-01,1947,1947,False
murphdi01,Dick Murphy,G,SG,73.0,175.0,1921-03-10,1947,1947,False
nostrge01,George Nostrand,C-F,C,80.0,195.0,1924-01-25,1947,1950,False
rosenha01,Hank Rosenstein,F,SF,76.0,185.0,1920-06-16,1947,1947,False
sadowed01,Ed Sadowski,C,C,77.0,240.0,1915-07-11,1947,1950,False
schecos01,Ossie Schectman,G,SG,72.0,175.0,1919-03-30,1947,1947,False
stutzst01,Stan Stutz,G-F,UNK,70.0,170.0,1920-04-14,1947,1949,False
weberja01,Jake Weber,C,C,78.0,225.0,1918-03-18,1947,1947,False
wertira01,Ray Wertis,G,SG,71.0,,1923-07-30,1947,1948,False
abramjo01,John Abramovic,F,SF,75.0,195.0,1919-02-09,1947,1948,False
