season,team,playoff_series_count,playoff_series_wins,playoff_series_losses,playoff_round_score,playoff_path_difficulty,playoff_opponent_srs_avg,playoff_opponent_net_rating_avg,playoff_opponent_win_pct_avg,playoff_opponent_power_avg,playoff_opponent_strength_score,playoff_champion,playoff_finals,playoff_upset_wins
1947,CHS,2,1,1,4,68.62456904683957,6.075,,0.7,59.177873002325754,76.81382104328962,0,1,0
1947,CLR,1,0,1,1,7.116227458180169,0.58,,0.55,51.728012209792766,11.47778622287124,0,0,0
1947,NYK,2,1,1,2,22.73502283401682,1.1500000000000001,,0.5416666666666667,52.187405321089614,22.153262635511005,0,0,0
1947,PHW,3,3,0,4,61.74300767940426,2.0866666666666664,,0.6040983606557377,53.94079822568091,43.13388335387784,1,1,0
1947,STB,1,0,1,1,14.292164659939864,3.16,,0.5833333333333334,54.739315221790946,23.051878483773976,0,0,0
1947,WSC,1,0,1,2,33.399285874827704,3.34,,0.639344262295082,55.65355705304664,44.19239657230275,0,0,0
1948,BLB,4,4,0,4,56.674363298823764,2.0775,,0.5677083333333334,53.29232439788069,30.119940804554453,1,1,0
1948,BOS,1,0,1,1,12.898459921581392,2.66,,0.5833333333333334,54.03478010315917,20.803967615453857,0,0,0
1948,CHS,4,2,2,2,18.457048493816693,1.5474999999999999,,0.5416666666666667,52.45962685324996,10.414594344865636,0,0,0
1948,NYK,1,0,1,1,15.33271325076545,3.69,,0.5833333333333334,54.98042204590032,24.730182662524918,0,0,0
1948,PHW,2,1,1,4,56.654190324126944,2.9050000000000002,,0.59375,54.39815638713812,57.50675858730152,0,1,0
1948,STB,1,0,1,2,23.77939681341298,0.69,,0.5625,51.949241054369324,28.67644647324674,0,0,0
1948,WSC,1,0,1,0,2.1540953802091725,2.66,,0.5833333333333334,54.03478010315917,3.474347387434149,0,0,0
1949,BLB,1,0,1,2,24.379989422096674,1.24,,0.5333333333333333,52.09885249619795,29.645144229188187,0,0,0
1949,CHS,1,0,1,2,45.34494796195356,6.8,,0.7333333333333333,59.97167127494395,63.45959348702186,0,0,0
1949,MNL,3,3,0,4,76.21864128958529,3.986666666666667,,0.6722222222222222,56.503864557291216,66.48167949933112,1,1,0
1949,NYK,2,1,1,3,40.557805832209574,1.63,,0.5583333333333333,52.79224669904632,41.22226747130576,0,0,0
1949,PHW,1,0,1,2,29.729205156179916,2.11,,0.6333333333333333,54.21476170201289,38.27291154222567,0,0,0
1949,ROC,2,1,1,3,43.36075505034079,1.795,,0.6083333333333333,53.59285310846654,45.74315330700128,0,0,0
1949,STB,1,0,1,2,44.0192365788528,6.12,,0.75,59.53798110692425,61.32134932073032,0,0,0
1949,WSC,3,2,1,4,59.47389530033955,2.75,,0.5777777777777778,54.109952158105926,57.215960161837984,0,1,0
1950,AND,3,2,1,3,46.794653226000804,3.1366666666666667,,0.6041666666666666,54.39668202678786,46.44298907419485,0,0,0
1950,CHS,2,0,2,2,27.485877195036625,5.045,,0.6691176470588236,56.74340416578041,34.65464063715585,0,0,0
1950,FTW,3,2,1,3,50.47409192668415,6.010000000000001,,0.6960784313725491,57.85794511388553,52.377567623684115,0,0,0
1950,INO,2,1,1,3,29.075104679525822,-1.7149999999999999,,0.4664818548387097,48.766988461725035,22.70178174117068,0,0,0
1950,MNL,5,5,0,4,69.34890379831371,4.104,,0.6602941176470589,55.87075816488774,50.562748061796306,1,1,0
1950,NYK,2,1,1,3,47.21593853832348,3.1,,0.6337316176470589,54.729418010216264,51.961191190844325,0,0,0
1950,PHW,1,0,1,2,45.4201439182249,6.48,,0.796875,59.47572565614364,63.580877287459515,0,0,0
1950,ROC,2,0,2,2,25.17497571813127,5.045,,0.6691176470588236,56.74340416578041,30.927380190534308,0,0,0
1950,SHE,1,0,1,2,29.96079140668831,2.59,,0.609375,54.016443483568,38.64643775272308,0,0,0
1950,SYR,3,2,1,4,59.638147341775365,2.8366666666666664,,0.573529411764706,53.77729521636024,57.480882809315105,0,1,0
1950,TRI,1,0,1,2,28.604493497244956,2.42,,0.578125,53.49515303888663,36.45886047942735,0,0,0
1950,WSC,1,0,1,2,29.183604500050283,2.53,,0.5882352941176471,53.708486900456435,37.39291048395207,0,0,0
1951,BOS,1,0,1,2,24.878829938777564,0.49,0.4,0.5454545454545454,53.211034137244454,30.449725707705745,0,0,0
1951,FTW,1,0,1,2,40.61764986938722,2.54,3.1,0.6029411764705882,60.98600835558415,55.834919144172936,0,0,0
1951,INO,1,0,1,2,56.34101831125935,4.79,5.7,0.6470588235294118,68.76084929070925,81.19519082461186,0,0,0
1951,MNL,2,1,1,3,38.47549909528746,0.27,0.3500000000000001,0.5294117647058824,52.552334159635166,37.86370821820559,0,0,0
1951,NYK,3,2,1,4,57.622410439825416,0.9166666666666666,1.1,0.5510023508744736,54.91218346016922,54.229694257782924,0,1,0
1951,PHW,1,0,1,2,23.427378912728802,0.62,0.5,0.48484848484848486,52.44355376765164,28.108675665691617,0,0,0
1951,ROC,3,3,0,4,70.49270193455888,1.1566666666666665,1.4333333333333336,0.5543672014260249,55.83468358837009,57.2462934428369,1,1,0
1951,SYR,2,1,1,3,49.26534659506274,1.9449999999999998,2.1,0.5757575757575757,58.29148660218494,55.2666880565528,0,0,0
1952,BOS,1,0,1,2,25.771508076017216,0.67,0.8,0.5606060606060606,52.98332074630188,31.88952915486648,0,0,0
1952,FTW,1,0,1,2,39.994338750324744,2.92,3.5,0.6212121212121212,58.7747108426518,54.82957862955604,0,0,0
1952,INO,1,0,1,2,51.66577068196641,5.28,6.0,0.6060606060606061,63.385332672144344,73.6544688418813,0,0,0
1952,MNL,3,3,0,4,68.79704083097675,1.2233333333333334,1.4666666666666668,0.5656565656565656,54.26167910517565,54.511356178994774,1,1,0
1952,NYK,3,2,1,4,77.04475341573868,4.273333333333333,4.866666666666666,0.6010101010101011,61.15748541306459,85.55605389635271,0,1,0
1952,PHW,1,0,1,2,44.78591435538385,3.94,4.6,0.6060606060606061,60.636539250614476,62.55792637965138,0,0,0
1952,ROC,2,1,1,3,45.36941271045023,1.725,1.85,0.5227272727272727,54.46868245800901,48.982923726532626,0,0,0
1952,SYR,2,1,1,3,34.146931442214346,-0.20500000000000002,-0.25,0.5303030303030303,50.59169099460743,30.882147487442495,0,0,0
1953,BLB,1,0,1,2,49.15057402201275,4.39,5.5,0.6714285714285714,61.90324842321398,69.59770003550443,0,0,0
1953,BOS,2,1,1,3,62.381807246363806,4.005,5.05,0.6667002012072434,61.026276742013565,76.42226975219968,0,0,0
1953,FTW,2,1,1,3,61.82167122424791,4.08,4.7,0.6571428571428571,60.635904770510905,75.51882455523857,0,0,0
1953,INO,1,0,1,2,54.95745585511347,5.54,6.5,0.6857142857142857,64.17679990835082,78.96363847598947,0,0,0
1953,MNL,3,3,0,4,65.22512532787412,0.7533333333333333,0.7666666666666666,0.5291779663488175,52.02172452550767,48.750202141732466,1,1,0
1953,NYK,3,2,1,4,54.41156510222723,0.56,0.7666666666666669,0.5207243460764587,51.750988257452754,49.05091145520521,0,1,0
1953,ROC,1,0,1,2,20.609083368703885,0.17,-0.1,0.5217391304347826,50.50305848554448,23.56303769145788,0,0,0
1953,SYR,1,0,1,2,34.74920359317833,1.94,2.4,0.647887323943662,56.162940092065476,46.36968321480376,0,0,0
1954,BOS,1,0,1,3,66.25813878348025,4.27,5.2,0.5833333333333334,62.48661321664694,87.51312707012944,0,0,0
1954,MNL,2,2,0,4,86.31300281232721,3.255,3.9000000000000004,0.5972222222222223,59.99933758329786,87.60161743923744,1,1,0
1954,ROC,1,0,1,3,58.00112450154959,2.71,3.3,0.6388888888888888,59.22890382480114,74.19536209927354,0,0,0
1954,SYR,2,1,1,4,69.99863203892579,2.34,2.9,0.6111111111111112,58.21272542948843,79.03005167568675,0,1,0
1955,BOS,2,1,1,3,42.85052075918887,0.67,0.7000000000000001,0.5625,55.61084202397959,44.920194772885274,0,0,0
1955,FTW,2,1,1,4,64.21799670123411,1.095,1.2000000000000002,0.5763888888888888,58.345516645321155,69.70644629231309,0,1,0
1955,MNL,2,1,1,3,37.68723182886412,0.2899999999999999,0.34999999999999987,0.5,52.1844860871185,36.59230940139375,0,0,0
1955,NYK,1,0,1,2,19.983219803205962,-0.03,0.0,0.5,50.48022126219601,22.553580327751554,0,0,0
1955,ROC,1,0,1,2,30.704047328947627,0.96,1.1,0.5555555555555556,57.22503263231658,39.84523762733488,0,0,0
1955,SYR,2,2,0,4,73.66627368222049,0.9899999999999999,1.15,0.5486111111111112,57.30071965222148,67.2036672293879,1,1,0
1956,BOS,1,0,1,2,20.570031811028688,0.17,0.0,0.4861111111111111,50.97420852754567,23.500051308110788,0,0,0
1956,FTW,2,1,1,4,63.92878615354119,1.2,1.2999999999999998,0.5416666666666666,57.372864846617844,69.23997766700192,0,1,0
1956,MNL,2,1,1,2,9.0,-1.42,-1.3,0.4583333333333333,43.59393216866156,0.0,0,0,0
1956,NYK,1,0,1,0,0.0,0.17,0.0,0.4861111111111111,50.97420852754567,0.0,0,0,0
1956,PHW,2,2,0,4,63.82759866832049,0.31,0.35,0.5,52.214658484661925,51.334836561807236,1,1,0
1956,STL,3,1,2,3,22.134807320242373,-0.4633333333333334,-0.3666666666666667,0.4768518518518518,47.58492585839479,11.507753742326415,0,0,0
1956,SYR,3,2,1,3,42.65754868744858,1.4466666666666665,1.3333333333333333,0.5509259259259259,57.85234970198767,39.77023981846546,0,0,0
1957,BOS,2,2,0,4,55.63322173525428,-0.65,-0.65,0.5,48.09434654145831,38.11809957299078,1,1,0
1957,FTW,2,0,2,2,5.999999999999999,-0.5800000000000001,-0.39999999999999997,0.4722222222222222,47.589127620047265,0.0,0,0,0
1957,MNL,3,1,2,3,18.639929108124655,-0.9066666666666667,-0.8000000000000002,0.47222222222222215,46.23229957507848,5.870853400201055,0,0,0
1957,PHW,1,0,1,2,14.166556390972563,-1.03,-1.2,0.5277777777777778,47.431792617352336,13.17186514672994,0,0,0
1957,STL,4,3,1,4,43.64937840699746,0.20500000000000007,0.22499999999999998,0.5069444444444444,51.630638414774836,26.853836140318478,0,1,0
1957,SYR,2,1,1,3,60.46424107233557,3.16,3.0,0.5625,64.79176051743558,73.3294210844122,0,0,0
1958,BOS,2,1,1,4,55.03774202286783,0.515,0.5,0.5416666666666666,52.75849457086014,54.89958390785134,0,1,0
1958,CIN,1,0,1,2,6.083224498655076,-2.32,-1.9,0.4583333333333333,43.65919236922112,0.13423306234689736,0,0,0
1958,DET,2,1,1,3,33.623330498214024,-0.325,0.0,0.5138888888888888,50.08261772541623,30.037629835829076,0,0,0
1958,PHW,2,1,1,3,59.72255124321411,3.5999999999999996,3.1,0.625,62.18791063196282,72.13314716647437,0,0,0
1958,STL,2,2,0,4,73.27894181866782,1.3499999999999999,1.2500000000000002,0.5694444444444444,55.16015406045559,66.57893841720615,1,1,0
1958,SYR,1,0,1,2,20.75854327296095,0.21,-0.1,0.5138888888888888,50.727180284918255,23.804102053162822,0,0,0
1959,BOS,2,2,0,4,65.86657161904023,1.1600000000000001,1.0999999999999999,0.4722222222222222,52.68919123047023,54.6235026113552,1,1,0
1959,DET,1,0,1,2,12.24659889766346,-1.42,-1.1,0.4583333333333333,47.287358509324896,10.075159512360422,0,0,0
1959,MNL,3,2,1,4,66.80515016657026,2.4566666666666666,2.4,0.5972222222222222,57.17963007651946,69.04056478479075,0,1,0
1959,NYK,1,0,1,2,38.130532042224814,3.74,3.3,0.4861111111111111,58.091023951615554,51.82343877778196,0,0,0
1959,STL,1,0,1,3,27.08825126783205,-1.42,-1.1,0.4583333333333333,47.287358509324896,24.3358891416646,0,0,0
1959,SYR,2,1,1,3,55.4650602690771,3.165,2.65,0.6388888888888888,58.85624395080004,65.26622624044694,0,0,0
1960,BOS,2,2,0,4,78.0525763379824,2.27,2.05,0.6333333333333333,56.66026689600983,74.27834893222969,1,1,0
1960,DET,1,0,1,2,5.999999999999999,-4.14,-3.5,0.3333333333333333,40.07440901553723,0.0,0,0,0
1960,MNL,2,1,1,3,32.19538830688337,-0.8400000000000001,-0.2999999999999998,0.5066666666666666,49.75991917107389,27.73449726916673,0,0,0
1960,PHW,2,1,1,3,65.99157006187562,5.195,4.1,0.6933333333333334,62.58556774079472,82.24446784173487,0,0,0
1960,STL,2,1,1,4,62.23287918824057,1.7400000000000002,1.2999999999999998,0.5599999999999999,54.00640178872705,66.50464385200091,0,1,0
1960,SYR,1,0,1,2,36.04814675371274,2.77,1.9,0.6533333333333333,56.57607013362821,48.46475282856894,0,0,0
1961,BOS,2,2,0,4,78.45824227998877,2.46,2.2,0.5632911392405063,57.44777154893352,74.93264883869156,1,1,0
1961,DET,1,0,1,2,17.692902991166047,-0.11,-0.1,0.45569620253164556,49.205874851298994,18.85952095349363,0,0,0
1961,LAL,2,1,1,3,38.88441102586741,0.44000000000000017,0.45000000000000007,0.5379746835443038,52.39085399606665,38.52324359010872,0,0,0
1961,PHW,1,0,1,2,30.013658671898646,1.93,1.7,0.4810126582278481,55.28663715177745,38.731707535320396,0,0,0
1961,STL,2,1,1,4,67.45151575465383,2.415,2.0500000000000003,0.5886075949367089,56.69806220375864,74.92179960428038,0,1,0
1961,SYR,2,1,1,3,54.764797126887494,2.915,2.45,0.6518987341772151,58.83567627538025,64.13676955949596,0,0,0
1962,BOS,2,2,0,4,77.97310387205843,2.215,1.9,0.64375,56.687256509993745,74.15016753557812,1,1,0
1962,CIN,1,0,1,2,10.971811995050675,-1.72,-1.4,0.4625,46.85163428743765,8.019051604920447,0,0,0
1962,DET,2,1,1,3,46.22825357218847,1.54,1.5499999999999998,0.60625,55.553618095907396,50.36815092288464,0,0,0
1962,LAL,2,1,1,4,72.41610696267766,3.265,2.8,0.60625,57.698574231105134,82.92920477851236,0,1,0
1962,PHW,2,1,1,3,64.5497673674059,5.245,4.4,0.63125,61.60112109991148,79.91897962484825,0,0,0
1962,SYR,1,0,1,2,35.59598235243044,2.63,2.1,0.6125,56.8340577071486,47.73545540714588,0,0,0
1963,BOS,2,2,0,4,76.58634462455741,1.955,1.9000000000000001,0.59375,56.532594173079474,71.9134590718668,1,1,0
1963,CIN,2,1,1,3,64.9176158161996,4.89,4.35,0.6625,62.595049141622816,80.5122835745155,0,0,0
1963,DET,1,0,1,2,30.311606975550674,1.38,1.5,0.6,54.703191246609514,39.21226931540431,0,0,0
1963,LAL,2,1,1,4,78.07383040889853,3.88,3.55,0.6625,60.216689102124036,92.0545651756428,0,1,0
1963,STL,2,1,1,3,34.832761560036545,-0.355,-0.19999999999999996,0.54375,50.49663967764806,31.988325096833137,0,0,0
1963,SYR,1,0,1,2,27.747096742412467,1.24,1.1,0.525,54.222401528634876,35.07596248776204,0,0,0
1964,BOS,2,2,0,4,90.43222877058993,4.42,4.4,0.64375,60.375186662571046,94.24553027514504,1,1,0
1964,CIN,2,1,1,3,44.79471794101947,1.5899999999999999,1.2999999999999998,0.58125,53.45245206141446,48.05599667906367,0,0,0
