player_id,season,playoff_g,playoff_gs,playoff_mp_per_game,playoff_trb_per_game,playoff_ast_per_game,playoff_stl_per_game,playoff_blk_per_game,playoff_tov_per_game,playoff_pts_per_game,playoff_bpm,playoff_dbpm,playoff_mp,playoff_obpm,playoff_per,playoff_ts_percent,playoff_usg_percent,playoff_vorp,playoff_ws,playoff_ws_48
abdelal01,1991,5,0.0,2.6,0.6,0.0,0.0,0.0,0.0,0.8,-7.3,-4.6,13.0,-2.6,6.3,0.333,19.8,0.0,0.0,-0.035
abdelal01,1992,8,0.0,3.1,0.5,0.3,0.0,0.0,0.3,1.5,-4.6,-0.4,25.0,-4.2,8.6,0.51,23.7,0.0,0.0,-0.005
abdelal01,1993,4,4.0,17.0,3.3,0.3,0.0,0.3,2.3,5.5,-11.0,-2.6,68.0,-8.4,3.2,0.458,21.9,-0.1,-0.2,-0.145
abdulka01,1970,10,0.0,43.5,16.8,4.1,,,,35.2,,,435.0,,29.4,0.608,,0.0,2.6,0.286
abdulka01,1971,14,0.0,41.2,17.0,2.5,,,,26.6,,,577.0,,25.3,0.548,,0.0,3.3,0.271
abdulka01,1972,11,0.0,46.4,18.2,5.1,,,,28.7,,,510.0,,22.4,0.462,,0.0,1.6,0.147
abdulka01,1973,6,0.0,46.0,16.2,2.8,,,,22.8,,,276.0,,17.7,0.447,,0.0,0.5,0.08
abdulka01,1974,16,0.0,47.4,15.8,4.9,1.3,2.4,,32.2,9.9,1.6,758.0,8.3,28.3,0.583,,2.2,4.7,0.297
abdulka01,1977,11,0.0,42.5,17.7,4.1,1.7,3.5,,34.6,12.2,2.6,467.0,9.6,32.4,0.646,,1.7,3.2,0.332
abdulka01,1978,3,0.0,44.7,13.7,3.7,0.7,4.0,4.7,27.0,3.7,1.3,134.0,2.4,21.9,0.526,26.8,0.2,0.4,0.13
abdulka01,1979,8,0.0,45.9,12.6,4.8,1.0,4.1,3.6,28.5,8.0,2.8,367.0,5.2,26.5,0.636,24.2,0.9,1.7,0.222
abdulka01,1980,15,0.0,41.2,12.1,3.1,1.1,3.9,3.7,31.9,8.9,1.5,618.0,7.4,27.9,0.611,28.5,1.7,3.3,0.253
abdulka01,1981,3,0.0,44.7,16.7,4.0,1.0,2.7,3.7,26.7,3.9,1.0,134.0,2.9,22.4,0.517,27.8,0.2,0.4,0.159
abdulka01,1982,14,0.0,35.2,8.5,3.6,1.0,3.2,2.9,20.4,4.4,1.4,493.0,3.0,20.1,0.55,23.9,0.8,1.5,0.144
abdulka01,1983,15,0.0,39.2,7.7,2.8,1.1,3.7,3.3,27.1,5.6,1.6,588.0,4.0,22.8,0.608,26.6,1.1,2.1,0.172
abdulka01,1984,21,0.0,36.5,8.2,3.8,1.1,2.1,2.1,23.9,6.3,1.0,767.0,5.3,24.0,0.592,25.3,1.6,3.3,0.206
abdulka01,1985,19,19.0,32.1,8.1,4.0,1.2,1.9,2.7,21.9,5.4,1.6,610.0,3.8,22.1,0.602,25.2,1.2,2.5,0.194
abdulka01,1986,14,14.0,34.9,5.9,3.5,1.1,1.7,3.0,25.9,4.9,1.0,489.0,3.9,21.2,0.586,29.8,0.8,1.6,0.156
abdulka01,1987,18,18.0,31.1,6.8,2.0,0.4,1.9,2.2,19.2,2.5,0.3,559.0,2.3,19.4,0.6,24.2,0.6,2.0,0.171
abdulka01,1988,24,24.0,29.9,5.5,1.5,0.6,1.5,1.9,14.1,-2.0,-0.6,718.0,-1.4,13.8,0.504,23.6,0.0,0.8,0.054
abdulka01,1989,15,15.0,23.4,3.9,1.3,0.3,0.7,1.5,11.1,-3.2,-0.6,351.0,-2.6,11.9,0.503,23.3,-0.1,0.3,0.038
abdulma01,1965,7,0.0,16.9,2.6,4.3,,,,7.6,,,118.0,,13.6,0.403,,0.0,-0.1,-0.059
abdulma01,1966,14,0.0,24.3,2.9,3.1,,,,11.9,,,340.0,,14.5,0.517,,0.0,0.7,0.099
abdulma01,1967,3,0.0,28.7,2.7,5.3,,,,6.7,,,86.0,,6.6,0.34,,0.0,-0.1,-0.072
abdulma01,1969,11,0.0,32.7,3.0,3.9,,,,14.0,,,360.0,,13.4,0.476,,0.0,0.8,0.102
abdulma01,1970,7,0.0,36.4,3.4,7.7,,,,21.4,,,255.0,,19.3,0.521,,0.0,0.8,0.159
abdulma01,1971,5,0.0,40.4,5.0,5.4,,,,14.0,,,202.0,,10.1,0.402,,0.0,-0.1,-0.02
abdulma01,1973,11,0.0,19.5,1.8,2.5,,,,6.5,,,215.0,,9.5,0.403,,0.0,-0.1,-0.018
abdulma02,1994,12,12.0,28.3,1.5,2.5,0.4,0.1,1.2,12.9,-2.7,-1.9,339.0,-0.8,11.8,0.462,24.8,-0.1,0.3,0.042
abdulma02,1995,3,2.0,25.3,1.7,1.7,0.7,0.0,2.7,13.3,-4.9,-3.8,76.0,-1.1,10.2,0.511,27.8,-0.1,-0.1,-0.048
