player_clean,wiki_total_views,importance_proxy
a.c. green,,40526.3
a.j. bramlett,,68.6
a.j. english,,3258.6
a.j. green,,5136.3
a.j. guyton,,1326.1
a.j. hammons,,184.8
a.j. lawson,,1362.4
a.j. price,4382.0,4545.6
a.j. wynder,,45.0
a.w. holt,,19.9
aaron brooks,,18132.1
aaron gordon,,24337.3
aaron gray,,4909.5
aaron harrison,,377.4
aaron henry,72875.0,22.8
aaron holiday,,9749.1
aaron jackson,,35.9
aaron james,,8039.6
aaron mckie,,23610.2
aaron miles,,136.9
aaron nesmith,,7856.0
aaron swinson,,59.9
aaron wiggins,882429.0,7247.9
aaron williams,,14539.1
abdel nader,747283.0,2787.5
abdul jeelani,,2543.7
ace bailey,,2058.7
acie earl,,3249.5
acie law,,3611.1
adam flagler,,255.3
adam harrington,,259.9
adam keefe,3582.0,10977.5
adam mokoka,,192.9
adam morrison,,4197.6
adama sanogo,,100.1
adama-alpha bal,,249.1
ade murkey,,2.0
adem bona,480317.0,2272.7
admiral schofield,587796.0,1503.3
adonal foyle,,13885.0
adonis jordan,,106.8
adonis thomas,,86.0
adou thiero,,174.1
adreian payne,1089152.0,2277.6
adrian branch,,1561.1
adrian caldwell,,2413.2
adrian dantley,,40816.2
adrian griffin,,8836.7
adrian smith,,20980.1
ahmad caver,,2.0
aj griffin,372749.0,1665.9
aj johnson,,2334.0
ajay mitchell,,2170.8
al attles,,18573.6
al beard,,130.3
al bianchi,,14344.3
al brightman,,58.4
al butler,,7375.1
al carlson,1190.0,306.9
al cervi,,1375.0
al cueto,,2390.2
al eberhard,,4362.8
al ferrari,,7961.900000000001
al fleming,,116.9
al guokas,,112.0
al hairston,,335.5
al harrington,,34306.2
al henry,,496.7
al horford,7833486.0,38234.8
al jackson,,18.9
al jefferson,,27306.2
al lucas,,2.0
al lujack,,5.0
al masino,5604.0,2265.0
al mcguire,,3162.4
al miksis,,8.1
al negratti,,10.9
al roges,,2440.7
al salvadori,6170.0,202.9
al sanders,,29.1
al skinner,,9986.9
al smith,,9318.5
al thornton,,12183.7
al tucker,,10694.6
al williams,,81.0
al wood,,11351.8
al-farouq aminu,,18900.0
alaa abdelnaby,,5406.7
alan anderson,,7129.3
alan hardy,,480.7000000000001
alan henderson,187413.0,14460.8
alan ogg,,772.3
alan sawyer,,33.9
alan williams,,941.6
alando tucker,217968.0,588.1
albert king,,13387.5
alec burks,1146000.0,22950.4
alec kessler,,3146.2
alec peters,,245.3
aleem ford,,78.6
aleksandar djordjevic,,69.2
aleksandar radojević,127292.0,166.20000000000002
aleksej pokusevski,,4029.3
alen smailagić,,252.1
alex acker,,487.5
alex antetokounmpo,,27.1
alex blackwell,,135.9
alex bradley,,370.4
alex caruso,,10811.0
alex ducas,,146.3
alex english,,41880.5
alex fudge,73286.0,91.9
alex garcia,,168.8
alex groza,221260.0,165.9
alex hannum,,10518.8
alex kirk,,19.0
alex len,,14969.0
alex morales,,27.8
alex poythress,,618.7
alex reese,,463.0
alex sarr,,3235.6
alex scales,,1.0
alex stepheson,,162.2
alex stivrins,,206.7
alexander johnson,,1404.6
alexander volkov,,2607.9
alexey shved,,4269.200000000001
alexis ajinça,356214.0,4579.0
alfonzo mckinnie,,2296.9
alfredrick hughes,,932.7
alijah martin,,168.9
alize johnson,322317.0,835.1
allan bristow,,14885.3
allan houston,,29220.1
allan ray,,757.5
allen crabbe,,10210.1
allen iverson,,44529.1
allen leavell,,16987.6
allen murphy,,296.6
allie mcguire,,12.0
allonzo trier,729764.0,1839.1
alondes williams,,139.1
alonzo bradley,,1237.0
alonzo gee,,11389.6
alonzo mourning,,27670.4
alperen şengün,2261960.0,10900.9
alphonso ford,213464.0,124.5
alton ford,,597.2
alton lister,,20757.1
alvan adams,346800.0,28297.3
alvin heggs,,18.1
alvin jones,,148.9
alvin robertson,,27608.3
alvin scott,,11509.2
alvin sims,,28.9
alvin williams,,14222.6
amal mccaskill,,1081.7
amar'e stoudemire,5702838.0,28523.0
amari bailey,,74.8
amari williams,,168.2
amen thompson,2031828.0,6806.7
amida brimah,,34.0
amile jefferson,,172.4
amir coffey,,7361.2
amir johnson,,19258.9
anderson varejão,,16324.3
andersson garcia,,173.9
andrae patterson,,344.8
andray blatche,,13049.1
andre barrett,,1708.1
andre brown,,672.8
andre dawkins,,25.8
andre drummond,5523414.0,31265.1
andre emmett,,87.0
andre iguodala,,40879.7
andre ingram,,85.1
andre jackson jr.,,2132.8
andre mccarter,,1285.9
andre miller,1447665.0,47639.6
andre moore,,119.9
andre owens,169545.0,656.0
andre roberson,,7122.900000000001
andre spencer,,1641.1
andre turner,,2820.2
andre wakefield,,1369.3
andrea bargnani,,16376.3
andreas glyniadakis,,93.6
andrei kirilenko,1728709.0,24830.1
andrew bogut,,21245.1
andrew bynum,,11697.0
andrew declercq,,11603.2
andrew funk,,17.9
andrew gaze,,154.1
andrew goudelock,420260.0,523.8
andrew harrison,11813.0,3338.3
andrew lang,,18547.6
andrew levane,,171.79999999999998
andrew nembhard,,7710.6
andrew nicholson,,4746.8
andrew toney,,13107.5
andrew white,,223.7
andrew wiggins,,32649.800000000003
andris biedriņš,,11697.3
andrés guibert,,221.4
andrés nocioni,,14622.0
andy anderson,,7996.5
andy duncan,,142.8
andy johnson,,7072.0
andy kostecka,4758.0,22.7
andy o'donnell,,25.3
andy panko,,2.0
andy phillip,,18906.9
andy rautins,,28.7
andy tonkovich,,16.6
andy toolson,,583.4
andy walker,,478.8
anfernee hardaway,,26677.0
anfernee simons,,13685.2
angelo musi,,166.9
ansley truitt,,101.9
ansu sesay,,1429.0
antawn jamison,,41312.4
ante žižić,,1633.3000000000002
anthony avent,,8519.4
anthony bennett,,2055.2
anthony black,,5179.0
anthony bonner,,7700.700000000001
anthony bowie,,8823.5
anthony brown,,972.0
anthony carter,,13313.6
anthony cook,,1843.4
anthony davis,,30489.7
anthony edwards,,15889.1
anthony frederick,,1787.5
anthony gill,,3408.9
anthony goldwire,53840.0,7241.3
anthony grundy,,120.2
anthony johnson,,20597.6
anthony jones,,3021.4
anthony lamb,,1708.5
anthony mason,,31598.6
anthony miller,19214.0,1836.6
anthony morrow,,14060.2
anthony parker,,14276.5
anthony peeler,,22563.2
anthony pullard,,44.8
anthony randolph,,4729.799999999999
anthony roberson,,961.8
anthony roberts,,4081.0
anthony taylor,,389.2
anthony tolliver,,18869.9
anthony tucker,,1044.3
antoine carr,,22621.1
antoine rigaudeau,,101.3
antoine walker,,35514.4
antoine wright,,7300.1
anton watson,165670.0,31.0
antonio anderson,,16.0
antonio blakeney,,1217.5
antonio burks,,869.5
antonio daniels,519094.0,21696.5
antonio davis,,30688.6
antonio harvey,,3014.8
antonio lang,,1587.1
antonio mcdyess,,30120.9
antonio reeves,,782.5
antonis fotsis,,348.0
antonius cleveland,,336.6
anžejs pasečņiks,,470.9
archie clark,,27746.2
archie dees,,3597.1000000000004
archie goodwin,14852.0,2791.4
ariel hukporti,,795.1
ariel maughan,4916.0,306.2
arinze onuaku,,180.4
armand cure,,12.0
armel traoré,,75.8
armen gilliam,,32647.9
armon johnson,,580.7
armond hill,,14838.8
armoni brooks,,2449.6
arnett moultrie,,789.5
arnie ferrin,,185.6
arnie johnson,,4513.2
arnie risen,,13382.9
arnoldas kulboka,,7.0
aron baynes,,8911.4
arron afflalo,,24209.3
art becker,,12833.8
art burris,,1141.1
art collins,,423.2
art harris,,7074.799999999999
art heyman,,11678.2
art hillhouse,10753.0,77.10000000000001
art long,,1554.3
art spector,,171.8
art spoelstra,,6908.1
art stolkey,,24.6
art williams,,9984.0
artis gilmore,1311880.0,49668.5
arvesta kelly,,4415.0
arvid kramer,,52.8
arvydas macijauskas,,153.9
arvydas sabonis,,11910.5
asa newell,,545.3
ashraf amaya,,1333.9
ashton hagans,,340.9
askia jones,,149.7
aubrey davis,,62.9
aud brindley,,12.2
audie norris,,2773.8
aulcie perry,,436.0
ausar thompson,,5016.8
austin carr,,21083.3
austin croshere,,12286.3
austin daye,522304.0,5710.6
austin reaves,,10567.9
austin rivers,,22202.3
avery bradley,2602280.0,22900.4
avery johnson,,31497.5
awvee storey,60036.0,467.0
axel toupane,,497.3
ayo dosunmu,,12018.7
b.j. armstrong,,19880.5
b.j. johnson,,274.1
b.j. tyler,,862.7
bailey howell,,31691.7
bam adebayo,,20445.2
barney cable,,11152.2
baron davis,,32868.4
barry clemens,,13394.4
barry kramer,,1181.3
barry leibowitz,,4503.0
barry nelson,,130.1
barry orms,,5315.0
barry parkhill,,3282.9
barry stevens,,8.0
barry sumpter,,2.0
barry yates,,167.8
bart kofoed,,812.5
bato govedarica,,281.2
bayard forrest,43181.0,2272.3
baylor scheierman,,1926.4
belus smawley,,488.4
ben bentil,,12.8
ben clyde,7565.0,182.1
ben coleman,,5412.3
ben davis,,194.1
ben gillery,8071.0,107.8
ben goldfaden,,2.0
ben gordon,,21152.1
ben handlogten,,507.7000000000001
ben hansbrough,,228.1
ben kelso,,343.8
ben mcdonald,,3868.5
ben mclemore,,14053.5
ben moore,8070.0,11.0
ben poquette,,17180.0
ben saraf,,957.7
ben schadler,,36.5
ben scharnus,,51.9
ben sheppard,,3620.6
ben simmons,,13516.4
ben uzoh,,1257.3
ben wallace,,35584.5
ben warley,,9587.2
bennedict mathurin,,9473.9
bennie swain,,767.9
beno udrih,,22013.6
benoit benjamin,,27859.4
bernard james,,854.8
bernard king,,30393.2
bernard robinson,,2348.1
bernard thompson,,3141.7
bernard toone,,146.8
bernie fryer,36087.0,2491.7
bernie harris,,35.8
bernie williams,,5451.5
bert cook,,461.0
bevo nordmann,,3095.7000000000003
bez mbeng,,507.1
bilal coulibaly,,5308.9
bill allen,,895.6
bill bolger,,222.2
bill bradley,,24157.9
bill bridges,1912.0,38107.0
bill buntin,,755.9
bill bunting,,3283.7
bill calhoun,614.0,10895.4
bill cartwright,1264958.0,28536.6
bill chamberlain,64248.0,1825.8
bill closs,6385.0,1313.2
bill crow,,16.8
bill curley,,2309.8
bill davis,,47.2
bill dinwiddie,,2977.8
bill downey,,2.9
bill ebben,,57.8
bill edwards,5094.0,46.6
bill franklin,,1371.0
bill gabor,,3998.2
bill gaines,,6.0
bill garner,,566.3
bill garnett,,5572.5
bill hanzlik,,16308.9
bill henry,10026.0,165.9
bill herman,,13.1
bill hewitt,,9171.1
bill higgins,,362.0
bill hosket,,1541.1
bill jones,,344.7
bill keller,,14198.3
bill laimbeer,,37073.0
bill ligon,,309.6
bill martin,3809.0,943.8
bill mayfield,,60.9
bill melchionni,,17462.9
bill meyer,,52.1
bill miller,,56.0
bill mlkvy,,638.0
bill newton,,225.0
bill roberts,,168.6
bill robinzine,,14081.0
bill russell,,41852.4
bill sharman,,22586.8
bill smith,6788.0,91.8
bill stricker,,3.0
bill thieben,,960.5
bill tosheff,,6547.1
bill turner,,5747.7
bill walton,,13778.7
bill wennington,,10473.2
bill willoughby,,10358.4
bill zopf,,450.9
billy cunningham,,27697.6
billy deangelis,,55.1
billy donovan,3926212.0,407.7
billy evans,98435.0,655.4
billy garrett,,66.9
billy harris,,1295.8
billy hassett,,154.4
billy james,10439.0,11.0
billy kenville,,7136.700000000001
billy knight,,27696.5
billy mcgill,,8320.5
billy mckinney,,11936.0
billy owens,368809.0,21671.8
billy paultz,,34768.4
billy ray bates,,3846.8
billy reid,8533.0,654.9
billy schaeffer,,2616.9
billy shepherd,,3293.8
billy thomas,,635.1
billy thompson,,7007.799999999999
bimbo coles,,24628.0
bingo smith,,25511.2
bird averitt,,9669.7
bismack biyombo,,18807.5
bison dele,,10443.1
blackie towery,,193.8
blaine denning,,10.0
blair rasmussen,,11956.7
blake ahearn,,244.7
blake griffin,14269349.0,28532.6
blake hinson,,299.8
blake wesley,,2773.6
blue edwards,,20319.2
bo ellis,,2154.2
bo erias,,418.9
bo kimble,,1439.9
bo lamar,,9488.1
bo outlaw,,23740.8
bob allen,,259.1
